brand,type,name,time,address,service,city,record_date
PX Mart,Supermarket,太平勤益,08:00-23:00,臺中市太平區中山路1段336號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中學士,08:00-23:00,臺中市北區學士路261號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中大進,08:00-23:00,臺中市南屯區大進街490號1樓,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,豐原豐東,08:00-23:00,臺中市豐原區豐東路171號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中博館,08:00-23:00,臺中市北區民權路466號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中嶺東,08:00-23:00,臺中市南屯區嶺東路690號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,旅順,08:00-23:00,臺中市北屯區旅順路二段78號1樓,"農家直採,生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,大里仁化,08:00-23:00,臺中市大里區仁化路500號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中北屯二,08:00-23:00,臺中市北屯區北屯路417號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,霧峰中正,07:30-22:30,臺中市霧峰區中正路1119號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,清水鰲峰,08:00-23:00,臺中市清水區鰲新路5號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,潭子豐興,08:00-23:00,臺中市潭子區豐興路1段547-555號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中大忠,08:00-23:00,臺中市西區精誠二十三街30號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,大里立中,08:00-23:00,臺中市大里區立中街27號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,太平光興,08:00-23:00,臺中市太平區光興路746號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,梧棲文化,08:00-23:00,臺中市梧棲區文化路2段85號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,中清,08:00-23:00,臺中市北屯區后庄路35巷1號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,逢甲,08:00-23:00,臺中市西屯區黎明路三段246號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,豐原忠孝,08:00-23:00,臺中市豐原區忠孝街27號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,太平中平,08:00-23:00,臺中市太平區太平路321號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中林森,08:00-23:00,臺中市西區林森路89號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,大肚榮華,08:30-22:30,臺中市大肚區榮華街7號號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中向上三厝,08:00-23:00,臺中市南屯區向上路3段46-1號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,龍井沙田,08:00-23:00,臺中市龍井區沙田路5段382號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,太平樹孝,08:00-23:00,臺中市太平區樹孝路439號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,沙鹿屏西,08:30-22:30,臺中市沙鹿區鎮南路2段46號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,后里文明,08:00-22:00,臺中市后里區三豐路三段855號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中河南,08:30-22:30,臺中市西屯區河南路4段26號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中新民,08:00-23:00,臺中市北區健行路37號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,大里新芳,08:30-22:30,臺中市大里區新芳路1號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中石岡,08:00-22:00,臺中市石岡區豐勢路883號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
